PM2.5 AQI Value,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
34,Good,,,,,,,,,,,,o,,
30,Good,,,,,,,,,,,o,o,,
50,Good,,,,,,,,,,,,,,
30,Good,-4.4,1.1,-7.8,1016.4,44,0,16.1,27.8,37,51.9,,o,,
61,Moderate,-9,-0.6,-12.2,1028.7,37,0,16.1,20.2,27.8,38.9,,,,
48,Good,-3.7,7.8,-12.8,1031.6,54,0,16.1,8.5,20.6,-,,,,
39,Good,,,,,,,,,,,o,,,o
57,Moderate,,,,,,,,,,,o,o,,o
24,Good,,,,,,,,,,,,o,,
44,Good,-0.6,6.7,-8.3,1013.4,68,2.54,15,9.4,14.8,-,,o,,
50,Good,1.4,2.8,0.6,1012,79,13.72,6.3,25.4,44.6,61.1,o,o,,
73,Moderate,0,4.4,-5,1025.8,-,2.03,12.7,9.4,20.6,-,,,,
56,Moderate,,,,,,,,,,,,,,
43,Good,0.4,3.9,-3.9,1037,71,0,13.7,12,16.5,-,o,,,
40,Good,3.9,8.9,-2.8,1024.3,77,3.3,9.7,17.2,33.5,50,,,,o
51,Moderate,2.7,8.9,-1.1,1028.5,62,0,15.9,9.4,14.8,-,o,,,
35,Good,,,,,,,,,,,o,,,
22,Good,,,,,,,,,,,o,o,,o
40,Good,,,,,,,,,,,o,o,,
42,Good,0.6,11.7,-7.2,1028.6,56,0,15.3,8,20.6,-,,,,
25,Good,11.7,20.6,5,1022.1,36,0,16.1,18.7,29.4,46.5,,,,
44,Good,12.4,21.7,4.4,1022.4,46,0,16.1,9.1,16.5,-,,,,
45,Good,,,,,,,,,,,,,,
32,Good,,,,,,,,,,,o,,,
24,Good,,,,,,,,,,,o,,,
21,Good,6.4,12.8,0.6,1034.3,54,0,16.1,8.1,18.3,-,,,,
13,Good,13.8,20,0.6,1022.9,85,5.33,13.4,16.9,33.5,48.2,o,,,
21,Good,15.4,20,9.4,1013.3,61,10.16,16.1,20.2,38.9,55.4,,,,
34,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,,,,
17,Good,,,,,,,,,,,,,,
30,Good,6.5,12.2,2.8,1025.6,44,0,16.1,8.1,18.3,-,o,,,
21,Good,7.4,13.3,2.8,1022.2,82,8.64,8,16.7,29.4,38.9,o,,,o
29,Good,8,16.1,3.9,1018.3,71,3.81,15.8,18.9,29.4,46.5,,,,
33,Good,,,,,,,,,,,,,,
31,Good,,,,,,,,,,,,,,
33,Good,,,,,,,,,,,,,,
33,Good,10.6,17.8,2.2,1027,62,0,15.8,14.8,22.2,31.7,,,,
22,Good,19.6,23.3,15,1016,74,0,15.3,20.2,33.5,63,o,,,
22,Good,12.1,23.3,6.1,1006.7,76,2.79,12.1,23.3,42.4,59.4,o,,,
25,Good,,,,,,,,,,,,,,
16,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,o,,,
30,Good,13.6,22.8,1.7,1012.6,47,1.78,15.1,17.2,38.9,53.5,,,,o
22,Good,10.9,22.8,1.7,1016.6,48,0,16.1,22.4,33.5,51.9,o,,,
19,Good,11.9,22.8,1.7,1025.1,46,0,16.1,14.3,33.5,46.5,,,,
34,Good,21.4,28.9,16.1,1016.7,55,0,16.1,31.9,44.6,61.1,,,,
25,Good,,,,,,,,,,,o,,,
21,Good,,,,,,,,,,,,,,
22,Good,,,,,,,,,,,,,,
35,Good,20.8,25.6,17.8,1023.2,58,0,16.1,16.5,25.9,37,,,,
25,Good,15.7,26.7,10,1020.4,79,3.81,12.2,13.1,20.6,-,o,,,o
20,Good,9.7,11.1,8.3,1022.8,85,10.41,9,13.7,27.8,35.2,o,,o,o
26,Good,,,,,,,,,,,o,,,o
31,Good,,,,,,,,,,,o,,,
27,Good,,,,,,,,,,,,,,
26,Good,16.5,24.4,7.2,1026.9,60,0,16.1,13,29.4,38.9,,,,
20,Good,20.7,26.7,8.9,1020.6,78,0,13.4,12,24.1,-,o,,,
15,Good,14.4,16.7,11.7,1022.6,61,33.02,12.9,21.9,35.2,48.2,o,,,
22,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,,,,
41,Good,,,,,,,,,,,,,,o
47,Good,16.4,24.4,11.7,1017.2,80,0,11.3,12.4,29.4,38.9,o,,,o
22,Good,21.9,27.8,11.7,1007.2,75,40.39,13.2,22.4,42.4,53.5,o,,,
27,Good,21.1,27.8,17.8,1006.9,53,29.46,16.1,23,33.5,42.4,o,,,
28,Good,,,,,,,,,,,,,,
18,Good,,,,,,,,,,,,,,
23,Good,,,,,,,,,,,,,,
23,Good,9.9,18.3,6.7,1013.5,69,0,14,8.3,16.5,-,o,,,
24,Good,11,16.1,6.7,1004.7,73,16.51,13.5,17.6,25.9,31.7,o,,,
28,Good,12.3,18.3,5.6,1007.5,61,0.25,16.1,10.2,25.9,29.4,,,,
17,Good,,,,,,,,,,,,,,
26,Good,,,,,,,,,,,,,,
37,Good,,,,,,,,,,,o,,,
13,Good,12,16.7,10,1009.5,87,20.83,12.4,22.8,33.5,53.5,o,,,
20,Good,13.3,20,8.3,1015.3,64,4.32,16.1,16.1,22.2,33.5,,,,
34,Good,17.2,27.2,8.3,1019.6,55,0,16.1,10.9,16.5,-,,,,
30,Good,,,,,,,,,,,,,,
25,Good,,,,,,,,,,,,,,
27,Good,,,,,,,,,,,,,,
23,Good,19.4,27.8,15,1021.6,71,0,16.1,9.3,16.5,-,,,,
25,Good,18.4,23.3,15.6,1020,83,0,13.8,14.1,24.1,-,o,,,
25,Good,19.9,25.6,15.6,1021.8,86,0.25,7.7,9.6,20.6,-,,,,o
52,Moderate,,,,,,,,,,,,,,
33,Good,,,,,,,,,,,o,,,
61,Moderate,,,,,,,,,,,o,,o,
31,Good,22.8,32.2,18.9,1018.6,53,2.03,16.1,20.4,29.4,37,,,,
18,Good,16.8,25.6,14.4,1027.6,54,0,16.1,16.9,25.9,33.5,,,,
25,Good,16.2,22.8,10,1026.8,63,0,16.1,7.4,20.6,25.9,,,,
39,Good,,,,,,,,,,,,,,
45,Good,,,,,,,,,,,o,,,
51,Moderate,,,,,,,,,,,o,,o,
48,Good,25.9,32.8,21.7,1014.2,76,4.83,14.3,10.2,20.6,-,o,,o,o
38,Good,23,30.6,20.6,1013.1,68,0.51,16.1,13.7,24.1,35.2,o,,,
23,Good,18.4,25,15.6,1013.2,71,0,15.3,19.4,38.9,50,o,,o,
27,Good,,,,,,,,,,,,,,
29,Good,,,,,,,,,,,,,,
33,Good,,,,,,,,,,,,,,
31,Good,22.6,28.3,12.2,1026.8,62,0,16.1,15.7,27.8,35.2,,,,
27,Good,23.9,30,17.8,1025.3,66,0,16.1,17.6,27.8,37,,,,
28,Good,25.9,31.1,18.9,1023.3,67,0,16.1,18.7,27.8,42.4,,,,
29,Good,,,,,,,,,,,,,o,
27,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,,,,
18,Good,25.8,30.6,20.6,1019.3,68,0,16.1,15.6,31.7,40.7,,,,
22,Good,27.1,32.8,21.1,1017.6,66,0,16.1,18.9,31.7,44.6,,,,
19,Good,24.1,32.8,19.4,1016.2,76,0,12.9,13.1,29.4,46.5,o,,o,o
13,Good,19.3,20.6,18.3,1017.6,88,67.56,6.8,21.9,31.7,40.7,o,,,o
12,Good,,,,,,,,,,,o,,,o
17,Good,,,,,,,,,,,o,,,o
28,Good,,,,,,,,,,,o,,,
26,Good,19.6,20.6,18.9,1017.2,81,0,16.1,15.7,22.2,-,,,,
27,Good,23.7,31.1,15.6,1017.6,64,0,16.1,14.4,27.8,44.6,,,,
30,Good,27,32.2,16.1,1010.5,64,3.05,15.8,19.8,29.4,40.7,o,,,
51,Moderate,,,,,,,,,,,,,,
53,Moderate,,,,,,,,,,,,,,
37,Good,,,,,,,,,,,,,,
55,Moderate,30.2,36.1,24.4,1015.1,60,0,16.1,13.5,20.6,-,,,o,
56,Moderate,28.3,36.1,24.4,1016.8,67,0,15.8,8.5,18.3,-,,,,
52,Moderate,30.1,37.2,23.9,1016.1,65,0,15.8,7.4,14.8,-,o,,,
48,Good,,,,,,,,,,,,,,
34,Good,,,,,,,,,,,o,,o,
36,Good,,,,,,,,,,,o,,,
41,Good,29.4,36.1,23.3,1015,60,0,16.1,11.7,20.6,-,o,,,
42,Good,29.3,36.1,24.4,1015.3,65,0,16.1,15.9,29.4,44.6,,,,
37,Good,30.7,35.6,23.9,1011.5,60,8.13,15.8,21.3,48.2,74.1,o,,o,
40,Good,,,,,,,,,,,,,,
64,Moderate,,,,,,,,,,,,,,
31,Good,,,,,,,,,,,o,,o,
32,Good,26.6,31.1,22.2,1018,62,0,16.1,10,24.1,33.5,o,,o,
30,Good,25.1,31.1,21.7,1014.2,77,29.21,14.2,15.6,38.9,70.6,o,,o,
26,Good,25.8,30.6,21.7,1013.5,80,2.79,15.4,13.9,40.7,59.4,o,,o,o
20,Good,,,,,,,,,,,,,,o
24,Good,,,,,,,,,,,,,,
41,Good,,,,,,,,,,,,,,
58,Moderate,27.6,33.9,23.3,1012.2,58,0,16.1,18.3,27.8,38.9,,,,
77,Moderate,27.3,32.2,23.3,1012.1,69,0,13.7,15.4,25.9,48.2,o,,o,
64,Moderate,24.9,32.2,22.2,1013.8,75,18.54,12.7,10.2,24.1,-,o,,,
33,Good,,,,,,,,,,,o,,,
29,Good,,,,,,,,,,,o,,o,
27,Good,,,,,,,,,,,o,,o,
46,Good,28.8,33.3,23.3,1018.4,70,28.7,16.1,14.8,24.1,33.5,,,,
58,Moderate,29.4,33.9,25,1017.4,68,0,16.1,19.4,29.4,-,,,,
56,Moderate,30.3,36.1,25.6,1016.4,61,0,16.1,17.8,25.9,-,o,,,
45,Good,,,,,,,,,,,,,,
38,Good,,,,,,,,,,,o,,o,
40,Good,,,,,,,,,,,,,,
40,Good,25.8,29.4,22.2,1012.9,75,0,16.1,7.8,24.1,38.9,o,,o,
35,Good,26.8,31.1,22.2,1006.1,74,0.25,15.9,15.6,22.2,33.5,o,,,
35,Good,28.6,32.2,23.9,1004.3,62,0.76,16.1,16.1,24.1,35.2,,,,
28,Good,,,,,,,,,,,o,,,
25,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,o,,o,o
48,Good,28.5,34.4,21.7,1012.8,74,22.61,16.1,11.1,18.3,-,o,,,
50,Good,29.9,35.6,23.9,1008.9,69,0,16.1,13.3,22.2,38.9,o,,o,
47,Good,30,35.6,25,1005.7,68,0,16.1,16.5,29.4,46.5,,,o,
34,Good,,,,,,,,,,,,,,
42,Good,,,,,,,,,,,,,,
36,Good,,,,,,,,,,,,,,
39,Good,25.1,30.6,18.9,1015.4,57,0,16.1,7.6,16.5,-,,,,
28,Good,25.1,30.6,18.3,1016.3,62,0,16.1,7.6,20.6,-,,,,
23,Good,27.3,31.7,18.3,1016.1,69,0,16.1,10,24.1,-,,,,
26,Good,,,,,,,,,,,,,,
26,Good,,,,,,,,,,,,,,
25,Good,,,,,,,,,,,,,,
43,Good,28.9,33.9,22.2,1012.4,62,8.64,15.8,14.4,29.4,37,o,,o,
47,Good,27.6,33.9,21.1,1012.4,61,0,16.1,11.3,24.1,33.5,,,,
51,Moderate,27.9,33.9,21.1,1012.6,73,0,15.6,10.4,18.3,-,o,,o,o
48,Good,28.2,34.4,22.8,1012.7,69,0,15.9,13,24.1,33.5,,,,
48,Good,,,,,,,,,,,,,,
47,Good,,,,,,,,,,,,,,
45,Good,,,,,,,,,,,o,,o,
27,Good,25.3,32.2,23.3,1008.8,81,8.89,14.8,9.3,27.8,-,o,,o,
19,Good,25.3,28.9,23.3,1010.8,79,38.35,13.4,25,37,55.4,o,,,
19,Good,24.7,28.3,20.6,1015.2,62,2.79,16.1,15.9,24.1,31.7,,,,
20,Good,,,,,,,,,,,,,,
24,Good,,,,,,,,,,,,,,
32,Good,,,,,,,,,,,,,,
34,Good,25.4,31.1,18.9,1017,65,0,16.1,7.2,18.3,-,,,,
33,Good,25.3,31.1,18.9,1021.1,60,0,16.1,6.3,18.3,-,,,,
34,Good,23.4,30.6,16.7,1021,61,0,16.1,6.7,16.5,-,,,,o
34,Good,,,,,,,,,,,,,,o
38,Good,,,,,,,,,,,,,,
54,Moderate,,,,,,,,,,,o,,,
35,Good,28,32.2,23.9,1015.7,67,0.25,16.1,10.7,22.2,31.7,,,,
23,Good,28.4,32.8,24.4,1014.1,76,0,15.6,11.3,27.8,44.6,o,,o,
24,Good,27.1,32.8,23.9,1015.2,76,37.85,15.3,14.1,31.7,38.9,o,,o,
33,Good,,,,,,,,,,,,,,
31,Good,,,,,,,,,,,,,,
43,Good,,,,,,,,,,,,,,
49,Good,27,32.8,18.9,1012.1,68,0.76,16.1,12.6,18.3,-,o,,o,
38,Good,25.7,31.7,22.8,1014.2,69,0,16.1,9.8,24.1,31.7,,,,
36,Good,25.6,30,22.8,1017.7,54,0,16.1,16.5,24.1,33.5,,,,
28,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,,,,o
37,Good,,,,,,,,,,,,,,o
40,Good,25.1,31.1,18.9,1019.8,76,0,15.6,6.9,14.8,-,o,,,
23,Good,26.6,31.7,22.2,1017.8,73,4.32,16.1,6.1,16.5,-,,,,
42,Good,27.4,35,22.2,1017,69,0,15,7.2,20.6,-,o,,o,o
66,Moderate,27.6,35,22.8,1012.8,63,2.29,15.4,8.7,14.8,-,,,,
70,Moderate,,,,,,,,,,,,,,
38,Good,,,,,,,,,,,,,,
19,Good,,,,,,,,,,,o,,,
16,Good,26.8,30.6,21.7,1019.7,66,0.76,16.1,9.3,18.3,-,,,,
16,Good,27.2,32.2,21.7,1017.8,74,0,13.7,7,22.2,33.5,o,,,o
28,Good,27.2,27.8,26.7,1016.2,79,0,16.1,8.7,13,-,,,,
25,Good,,,,,,,,,,,o,,o,
22,Good,,,,,,,,,,,o,,o,
34,Good,,,,,,,,,,,o,,o,
19,Good,23.6,32.8,21.7,1008.4,66,6.6,15.8,13.9,31.7,40.7,o,,,o
27,Good,21.2,27.2,15,1020.4,47,0,16.1,10.7,20.6,29.4,,,,
30,Good,21.2,28.9,12.8,1026.7,51,0,16.1,5.9,16.5,-,,,,
40,Good,,,,,,,,,,,,,,o
42,Good,,,,,,,,,,,,,,
38,Good,,,,,,,,,,,,,,
31,Good,25.3,30.6,16.7,1014,69,0,16.1,7.2,18.3,-,,,,o
34,Good,24.3,30.6,19.4,1012.9,75,0,13.7,12.6,33.5,40.7,o,,,o
22,Good,25.6,29.4,19.4,1016.6,68,6.1,15.8,20.7,29.4,44.6,o,,,
24,Good,,,,,,,,,,,o,,,
23,Good,,,,,,,,,,,,,,
19,Good,,,,,,,,,,,,,,
25,Good,25,28.3,23.3,1020.9,64,0,16.1,28,35.2,51.9,o,,,
23,Good,23.8,26.1,21.1,1022,74,10.67,12.2,29.3,37,59.4,o,,,
31,Good,25.4,28.3,21.1,1022.8,70,5.08,14.6,27.2,35.2,57.6,,,,
28,Good,,,,,,,,,,,,,,
23,Good,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,o,,o,
5,Good,22.9,28.9,21.1,1010.2,82,51.05,7.9,26.5,38.9,55.4,o,,,
6,Good,20.8,21.7,18.9,1010.9,80,46.48,6.9,40.6,48.2,68.3,o,,,
28,Good,23.3,27.8,18.3,1011.7,84,43.43,10.5,23.9,38.9,63,o,,,
11,Good,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,,,,
30,Good,18.9,25,12.8,1016.2,69,0,16.1,8.1,20.6,35.2,,,,
34,Good,19.9,26.7,12.8,1019.3,67,0,16.1,5,16.5,-,,,,
37,Good,22.8,29.4,14.4,1017.4,66,0,16.1,16.1,33.5,48.2,,,,
20,Good,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,,,,
35,Good,21.8,26.7,12.8,1005.5,67,0,16.1,18.5,31.7,48.2,,,,
35,Good,20.4,26.7,15,1009.2,62,0,16.1,8.9,18.3,-,,,,
23,Good,17.1,24.4,10.6,1016.4,63,0,16.1,7.2,16.5,-,,,,
35,Good,,,,,,,,,,,o,,,
30,Good,,,,,,,,,,,,,,o
14,Good,,,,,,,,,,,,,,
17,Good,11.2,14.4,7.2,1031.3,43,0,16.1,17.4,29.4,38.9,,,,
27,Good,12.1,22.2,4.4,1029.1,49,0,16.1,9.8,20.6,-,,,,
29,Good,15.5,25,4.4,1027.3,60,0,16.1,7.2,20.6,-,,,,o
35,Good,,,,,,,,,,,,,,o
43,Good,,,,,,,,,,,,,,
38,Good,,,,,,,,,,,,,,
55,Moderate,16.9,24.4,11.1,1020.9,72,0,16.1,6.9,20.6,-,,,,
13,Good,16.5,24.4,11.1,1026.5,62,0,16.1,21.7,27.8,42.4,,,,
17,Good,18.1,20,14.4,1028.1,67,0,16.1,20.4,25.9,40.7,o,,,
18,Good,,,,,,,,,,,o,,,
28,Good,,,,,,,,,,,o,,,
25,Good,,,,,,,,,,,,,,
31,Good,13.1,20,5.6,1021.6,61,0,16.1,6.5,20.6,-,,,,
28,Good,17.3,22.2,5.6,1017.8,71,0,15.8,8.5,16.5,-,o,,,
51,Moderate,18.7,22.2,13.9,1017.8,86,6.35,11.4,9.1,20.6,-,o,,,
35,Good,18.8,21.7,17.2,1021.4,73,12.7,16.1,11.9,20.6,-,o,,,
27,Good,,,,,,,,,,,o,,,o
28,Good,,,,,,,,,,,o,,,
30,Good,,,,,,,,,,,,,,o
30,Good,22.3,27.8,16.7,1017.8,79,0,14.3,14.6,27.8,35.2,o,,,
45,Good,15.2,25,12.8,1026.7,52,14.99,15.3,23,31.7,44.6,o,,,
13,Good,17.6,21.7,12.2,1027,68,0,14.3,16.9,22.2,-,o,,,
13,Good,,,,,,,,,,,o,,,
22,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,,,,o
20,Good,17.7,24.4,10,1009.7,45,0,16.1,18.9,27.8,40.7,,,,
43,Good,11.6,20,7.2,1020.8,34,0,16.1,17,25.9,35.2,,,,
58,Moderate,9.3,18.3,2.2,1028.8,53,0,16.1,6.3,13,-,,,,
31,Good,,,,,,,,,,,,,,
43,Good,,,,,,,,,,,,,,
17,Good,,,,,,,,,,,o,,,
11,Good,20,22.8,17.8,1020.2,78,1.27,15.4,18.1,29.4,44.6,o,,,
15,Good,17.1,21.7,10,1019.9,56,8.38,15.4,22.4,44.6,57.6,o,,,
33,Good,12.7,20.6,7.2,1021.2,51,2.29,16.1,12.4,20.6,-,,,,
21,Good,,,,,,,,,,,o,,,
19,Good,,,,,,,,,,,,,,
39,Good,,,,,,,,,,,,,,
42,Good,8.1,16.1,-1.7,1036.6,63,0,16.1,6.5,22.2,27.8,,,,
30,Good,16.1,21.7,11.1,1039.6,68,0,16.1,13.1,18.3,-,,,,
35,Good,15.5,23.3,8.3,1033.5,74,0,10.9,5.6,14.8,-,,,,o
66,Moderate,,,,,,,,,,,,,,o
51,Moderate,,,,,,,,,,,o,,,
14,Good,,,,,,,,,,,o,,,
23,Good,13.9,17.2,10.6,1020,84,13.72,9,8.1,14.8,-,o,,,o
20,Good,16.4,20.6,11.1,1014.3,86,0.76,7.9,10.6,20.6,-,o,,,o
17,Good,14.5,20.6,10.6,1015.7,55,1.27,16.1,22.6,35.2,51.9,o,,,
53,Moderate,,,,,,,,,,,,,,
59,Moderate,,,,,,,,,,,,,,
61,Moderate,,,,,,,,,,,,,,
67,Moderate,9.3,15,3.9,1023.3,81,0,8.9,3.1,13,-,o,,,
58,Moderate,7.6,10,6.1,1018.9,87,19.05,5.6,8.1,11.1,-,,,,o
47,Good,9.3,17.8,2.8,1020,70,0,15.1,6.7,22.2,-,,,,o
43,Good,,,,,,,,,,,o,,,o
60,Moderate,,,,,,,,,,,,,,
58,Moderate,,,,,,,,,,,,,,
56,Moderate,18.6,25.6,12.2,1022.1,75,0,14.2,10.6,14.8,-,,,,
27,Good,20.5,25.6,13.9,1015.1,73,0,15.4,14.1,29.4,44.6,o,,,
21,Good,20.3,25.6,13.3,1005.7,64,1.27,15.4,23.7,37,50,,,,
15,Good,,,,,,,,,,,,,,
50,Good,,,,,,,,,,,o,,,
23,Good,,,,,,,,,,,o,,,
17,Good,5.9,8.3,2.2,1023.2,42,6.1,16.1,21.3,31.7,48.2,,,,
28,Good,5.1,10.6,-1.1,1033.3,56,0,16.1,6.9,16.5,-,,,,
23,Good,11.4,20,-1.1,1029.3,67,0,16.1,7.4,18.3,-,,,,
18,Good,,,,,,,,,,,o,,,
16,Good,,,,,,,,,,,o,,,o
34,Good,,,,,,,,,,,o,,,
34,Good,24.4,27.8,21.7,1022.8,76,0.51,16.1,18.9,25.9,38.9,,,,
30,Good,19.3,27.8,15.6,1024.4,84,0,8.7,8.9,14.8,-,,,,o
18,Good,19.5,25,15.6,1018.5,79,0,6.9,14.1,35.2,51.9,,,,o
16,Good,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,o,,,
21,Good,,,,,,,,,,,o,,,o
18,Good,20,20.6,19.4,1019.3,83,16,16.1,18.5,25.9,35.2,o,,,
27,Good,11.3,20,9.4,1019.7,70,8.38,15.8,10.7,25.9,33.5,,,,
25,Good,8.2,12.8,2.8,1020.4,54,0,16.1,10.4,14.8,-,,,,
41,Good,6.8,11.7,2.8,1015.3,54,0,16.1,11.5,20.6,-,,,,
18,Good,,,,,,,,,,,,,,
17,Good,,,,,,,,,,,,o,,
21,Good,,,,,,,,,,,,,,
28,Good,9.4,13.3,-0.6,1025,72,0,16.1,15.7,27.8,-,,,,
35,Good,10.9,13.3,7.2,1019.2,78,0,15.3,17.8,24.1,-,,,,
29,Good,12.2,16.7,9.4,1018.1,81,2.29,14,11.9,18.3,-,o,,,
10,Good,,,,,,,,,,,o,,,
13,Good,,,,,,,,,,,,,,
16,Good,,,,,,,,,,,,,,
25,Good,4.2,13.3,-1.7,1018.4,29,0,16.1,20.7,33.5,59.4,o,,,
28,Good,5.6,15.6,-2.2,1017.9,39,0,16.1,14.6,27.8,38.9,,,,
27,Good,9.7,16.7,-2.2,1013.1,54,0,15.8,13.7,44.6,66.5,o,,,
21,Good,,,,,,,,,,,o,,,
18,Good,,,,,,,,,,,o,o,,
17,Good,,,,,,,,,,,,,,
19,Good,-3.4,2.2,-6.7,1024.8,34,0,16.1,24.8,37,53.5,,,,
29,Good,-1,3.9,-6.7,1026.5,46,0,16.1,13.3,27.8,37,,,,
44,Good,1.3,3.9,-5.6,1023.2,56,0,16.1,19.6,29.4,44.6,,o,,
29,Good,,,,,,,,,,,o,o,,
14,Good,,,,,,,,,,,o,o,,o
33,Good,,,,,,,,,,,,o,,
34,Good,3.3,11.7,-3.3,1024.9,54,0,16.1,7.6,18.3,-,,,,
25,Good,11.9,20,6.1,1023.1,51,0,16.1,16.7,31.7,46.5,,,,
34,Good,10.3,20.6,3.9,1019.2,68,0,15.8,14.8,25.9,-,o,,,
49,Good,,,,,,,,,,,,,,
24,Good,,,,,,,,,,,,,,
21,Good,,,,,,,,,,,,,,
28,Good,12.2,21.7,-2.8,1017.9,49,0,16.1,15.9,27.8,44.6,,,,
35,Good,17.4,24.4,3.9,1013.5,53,0,16.1,22.4,31.7,40.7,,,,
27,Good,10.8,15,8.3,1022.7,68,0,15.8,17.6,29.4,-,,,,
25,Good,16.8,26.1,7.8,1020.1,68,0,15.6,20,37,57.6,o,,o,
16,Good,,,,,,,,,,,o,,o,
19,Good,,,,,,,,,,,o,o,,
42,Good,,,,,,,,,,,,,,
29,Good,1.3,2.2,0.6,1026,71,0,16.1,1.5,9.4,-,,,,
25,Good,6.9,10,0.6,1006.8,62,5.59,16.1,24.8,44.6,63,o,,,
19,Good,7.8,11.7,5,1002.3,65,0.51,15.6,15.4,27.8,37,o,,,
21,Good,,,,,,,,,,,,,,
24,Good,,,,,,,,,,,,,,
27,Good,,,,,,,,,,,,o,,
23,Good,-1.1,1.1,-5,1020.9,49,1.52,15.6,20.9,42.4,59.4,,,,
15,Good,-4.2,1.1,-6.7,1032.8,37,0,16.1,23.9,38.9,48.2,,,,
29,Good,2.6,10,-6.7,1029.5,72,1.27,8.2,8,18.3,-,o,o,,
15,Good,,,,,,,,,,,o,,,
31,Good,,,,,,,,,,,o,,,
30,Good,,,,,,,,,,,,,,
19,Good,3.3,8.9,-2.2,1033.4,52,0,16.1,13.5,20.6,-,,,,
49,Good,13.3,23.3,-2.2,1021.5,52,0,16.1,22.8,29.4,44.6,,,,
64,Moderate,17.7,24.4,5.6,1015,59,0,15.4,17.6,27.8,-,o,,,
36,Good,,,,,,,,,,,,,,
22,Good,,,,,,,,,,,o,,,o
22,Good,,,,,,,,,,,o,,o,o
11,Good,15.8,23.9,9.4,1000.1,43,6.1,16.1,37.8,46.5,66.5,o,,,
8,Good,9.1,11.7,5.6,1013.8,37,0,16.1,23,46.5,59.4,,,,
26,Good,5.3,12.2,1.1,1022.3,38,0,16.1,15.9,25.9,37,,,,
29,Good,,,,,,,,,,,,,,
43,Good,,,,,,,,,,,,,,
52,Moderate,13.8,25,5.6,1017.2,49,0,16.1,11.3,31.7,44.6,,,,
25,Good,14.8,21.7,5.6,1009.4,49,0.51,16.1,27.4,35.2,53.5,o,,,
19,Good,5.2,7.2,2.2,1023.6,44,0.25,16.1,17,27.8,38.9,,,,
26,Good,,,,,,,,,,,o,,,
45,Good,,,,,,,,,,,,,,
54,Moderate,,,,,,,,,,,,,,
44,Good,9.3,20.6,1.1,1026.3,53,0,14.2,9.8,33.5,42.4,,,,
37,Good,18.2,27.2,12.8,1022.5,34,0,16.1,16.7,25.9,-,,,,
43,Good,20.3,28.3,13.3,1022.3,45,0,16.1,15.7,25.9,40.7,,,,
30,Good,,,,,,,,,,,,,,
29,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,,,,
35,Good,17.8,29.4,11.1,1015.8,68,0,15.1,7.4,20.6,-,o,,o,
28,Good,17.9,29.4,11.7,1010.6,77,14.48,11.1,14.3,27.8,-,o,,o,o
15,Good,15.1,21.7,11.7,1009.9,72,2.03,11.6,12.2,29.4,35.2,o,,,o
43,Good,,,,,,,,,,,,,,o
24,Good,,,,,,,,,,,o,,o,
21,Good,,,,,,,,,,,,,,
23,Good,12,22.8,8.3,1015.4,57,0,15.4,19.8,35.2,51.9,o,,,
15,Good,9.1,10,8,1014.5,72,9.91,12.1,28.3,38.9,50,o,,,
26,Good,9.8,15,6.7,1013.9,52,1.78,14.6,22.4,33.5,44.6,o,,,
28,Good,,,,,,,,,,,,,,
61,Moderate,,,,,,,,,,,,,,
35,Good,,,,,,,,,,,,,,
38,Good,23.9,30.6,16.1,1010.4,59,0,15.8,21.5,37,50,o,,,
27,Good,15.3,22.2,11.7,1021.4,56,0.76,16.1,18.3,27.8,42.4,,,,
17,Good,13.4,17.8,11.7,1024.4,77,3.05,9,10.9,18.3,-,o,,,
15,Good,,,,,,,,,,,o,,,
25,Good,,,,,,,,,,,,,,
25,Good,,,,,,,,,,,,,,
28,Good,20.3,27.8,6.7,1019.6,54,0,16.1,18.3,33.5,48.2,,,,
20,Good,24.9,29.4,15,1009,65,12.95,15.6,25.2,38.9,59.4,o,,,
22,Good,19.3,29.4,13.3,1003.1,71,0.51,13.4,19.8,29.4,46.5,o,,,
16,Good,12.9,23.9,8.3,1010.3,34,14.99,16.1,26.9,46.5,72.2,,,,
20,Good,,,,,,,,,,,,,,
20,Good,,,,,,,,,,,o,,,
18,Good,,,,,,,,,,,,,,
13,Good,18.8,23.9,13.3,1007.4,52,0,15.8,24.4,42.4,63,o,,,
17,Good,15.1,24.4,8.9,1006.9,37,0.25,16.1,19.4,63,85.2,o,,,
19,Good,11.4,18.9,8.3,1009.2,39,0,16.1,24.1,46.5,70.6,o,,,
20,Good,,,,,,,,,,,,,,
21,Good,,,,,,,,,,,o,,,
