PM2.5 AQI Value,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
18,Good,12.1,23.9,6.1,1017.6,70,0,16.1,11.7,20.6,-,,,,
36,Good,,,,,,,,,,,,,,
39,Good,,,,,,,,,,,,,,
23,Good,,,,,,,,,,,,,,
22,Good,12.3,21.7,5.6,1019.3,82,1.27,11.6,15.2,29.4,46.5,o,,o,o
23,Good,19.7,21.7,7.8,1002.6,77,15.75,14.6,21.5,33.5,55.4,o,,,
38,Good,13.9,21.1,7.8,1007.9,52,1.27,16.1,12.8,24.1,-,,,,
35,Good,,,,,,,,,,,o,,,
52,Moderate,,,,,,,,,,,,,,
49,Good,,,,,,,,,,,,,,
28,Good,19.4,27.8,12.2,1022.2,65,0,15.3,16.5,33.5,44.6,,,,
16,Good,21.4,27.8,13.9,1018.1,61,0,16.1,19.6,33.5,44.6,,,,
15,Good,21.4,27.2,17.2,1008.1,79,0.51,14,22.2,35.2,55.4,o,,,
20,Good,,,,,,,,,,,o,,,
22,Good,,,,,,,,,,,,,,
21,Good,,,,,,,,,,,,,,
32,Good,8.6,10.6,6.1,1024,80,0.76,14.3,16.7,27.8,35.2,o,,,
34,Good,10.7,13.3,7.8,1024.2,68,1.27,16.1,34.4,44.6,64.8,,,,
21,Good,11.1,16.7,8,1019.5,75,0,13.8,24.3,40.7,57.6,,,,
45,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,,,,
24,Good,,,,,,,,,,,,,,
25,Good,14.2,21.1,7.2,1014.8,63,0,15.6,16.9,40.7,55.4,o,,o,
27,Good,18.6,24.4,7.2,1010.9,56,35.56,14.8,22.2,33.5,46.5,o,,o,
24,Good,15.9,24.4,11.7,1015,56,0,16.1,15.6,31.7,33.5,,,,
16,Good,,,,,,,,,,,o,,,
18,Good,,,,,,,,,,,o,,,
26,Good,,,,,,,,,,,o,,,
29,Good,23.1,27.2,16.7,1011.1,75,1.27,16.1,20.7,33.5,50,o,,,
29,Good,19.4,27.2,15.6,1010.7,55,0,16.1,16.7,25.9,-,o,,,
37,Good,18.1,24.4,12.2,1011.2,56,0,16.1,10.2,22.2,31.7,,,,
29,Good,,,,,,,,,,,,,,
22,Good,,,,,,,,,,,o,,,
